존,번호,곡,근거,등급
D12,30,겟 업 (앤 고),사용자 확인(대부분 8/14 영상 눈판독) — D12 의 26·27·28·29·30·31 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 26~35 전체의 밀림이 없다,구간확정(미검증)
D12,31,투우사의 노래,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 26·27·28·29·30·31 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 26~35 전체의 밀림이 없다,구간확정(미검증)
D12,32,파이널 오디션 에피소드 2-1,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 26·27·28·29·30·31 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 26~35 전체의 밀림이 없다,구간확정(미검증)
D12,33,월광,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 26·27·28·29·30·31 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 26~35 전체의 밀림이 없다,구간확정(미검증)
D12,34,캐논 디,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 26·27·28·29·30·31 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 26~35 전체의 밀림이 없다,구간확정(미검증)
D12,35,우편마차,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 26·27·28·29·30·31 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 26~35 전체의 밀림이 없다,구간확정(미검증)
D12,42,할시온,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 42·43·44·45·46·47 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 42~52 전체의 밀림이 없다,구간확정(미검증)
D12,43,비코즈 오브 유,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 42·43·44·45·46·47 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 42~52 전체의 밀림이 없다,구간확정(미검증)
D12,44,호랑풍류가,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 42·43·44·45·46·47 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 42~52 전체의 밀림이 없다,구간확정(미검증)
D12,45,클럽 나이트,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 42·43·44·45·46·47 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 42~52 전체의 밀림이 없다,구간확정(미검증)
D12,46,프렌드,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 42·43·44·45·46·47 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 42~52 전체의 밀림이 없다,구간확정(미검증)
D12,47,스텝,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 42·43·44·45·46·47 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 42~52 전체의 밀림이 없다,구간확정(미검증)
D12,48,더 레볼루션,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 42·43·44·45·46·47 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 42~52 전체의 밀림이 없다,구간확정(미검증)
D12,49,셀피쉬니스,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 42·43·44·45·46·47 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 42~52 전체의 밀림이 없다,구간확정(미검증)
D12,50,미토츠다이라,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 42·43·44·45·46·47 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 42~52 전체의 밀림이 없다,구간확정(미검증)
D12,51,슈샤,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 42·43·44·45·46·47 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 42~52 전체의 밀림이 없다,구간확정(미검증)
D12,52,스멜스 라이크 어 초콜릿,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 42·43·44·45·46·47 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 42~52 전체의 밀림이 없다,구간확정(미검증)
D12,58,헬릭스,사용자 확인(대부분 8/14 영상 눈판독) — D12 의 58 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 58~58 전체의 밀림이 없다,구간확정(미검증)
D13,4,얼티밋 아이즈,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 4·5·6·7·8·9 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~10 전체의 밀림이 없다,구간확정
D13,5,베르사이유,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 4·5·6·7·8·9 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~10 전체의 밀림이 없다,구간확정
D13,6,더 아포칼립스,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 4·5·6·7·8·9 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~10 전체의 밀림이 없다,구간확정
D13,7,붐!!,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 4·5·6·7·8·9 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~10 전체의 밀림이 없다,구간확정
D13,8,할로윈 파티 ~Multiverse~,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 4·5·6·7·8·9 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~10 전체의 밀림이 없다,구간확정
D13,9,시,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 4·5·6·7·8·9 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~10 전체의 밀림이 없다,구간확정
D13,10,추격,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 4·5·6·7·8·9 외 1 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~10 전체의 밀림이 없다,구간확정
D13,18,하트 래빗 코스터,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 18·19·20·21·26 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 18~26 전체의 밀림이 없다,구간확정
D13,19,퍼센트 엑스,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 18·19·20·21·26 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 18~26 전체의 밀림이 없다,구간확정
D13,20,금혼식,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 18·19·20·21·26 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 18~26 전체의 밀림이 없다,구간확정
D13,21,까르멘 버스,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 18·19·20·21·26 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 18~26 전체의 밀림이 없다,구간확정
D13,22,마카롱 데이,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 18·19·20·21·26 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 18~26 전체의 밀림이 없다,구간확정
D13,23,배니쉬,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 18·19·20·21·26 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 18~26 전체의 밀림이 없다,구간확정
D13,24,클레마티스 랩소디아,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 18·19·20·21·26 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 18~26 전체의 밀림이 없다,구간확정
D13,25,탄탄멘,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 18·19·20·21·26 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 18~26 전체의 밀림이 없다,구간확정
D13,26,아마겟돈,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 18·19·20·21·26 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 18~26 전체의 밀림이 없다,구간확정
D13,34,어웨이크닝,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 34·35·36·37 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 34~37 전체의 밀림이 없다,구간확정
D13,35,라티노 바이러스,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 34·35·36·37 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 34~37 전체의 밀림이 없다,구간확정
D13,36,실루엣 이펙트,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 34·35·36·37 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 34~37 전체의 밀림이 없다,구간확정
D13,37,아발란치,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 34·35·36·37 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 34~37 전체의 밀림이 없다,구간확정
D13,43,라이크 미,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,44,엑시던트,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,45,테이크 아웃,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,46,조나단의 꿈,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,47,소서리스 엘리제,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,48,터키 행진곡 -미니멀튠즈-,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,49,오이 오이 오이,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,50,롤링 크리스마스,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,51,베토벤 바이러스,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,52,터키 행진곡,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,53,미드나잇 블루,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,54,댄싱,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,55,갤럭시 컬랩스,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,56,코스믹 레일로드,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,57,에너지 시너지 매트릭스,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,58,어콰이어,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 43·44·45·46·47·48 외 4 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 43~58 전체의 밀림이 없다,구간확정
D13,64,슬랩스틱 파르페,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 64·65·66·67 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 64~75 전체의 밀림이 없다,구간확정
D13,65,팝 시퀀스,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 64·65·66·67 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 64~75 전체의 밀림이 없다,구간확정
D13,66,크로스 소울,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 64·65·66·67 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 64~75 전체의 밀림이 없다,구간확정
D13,67,브로큰 카르마 (PIU EDIT),사용자 확인(대부분 8/14 영상 눈판독) — D13 의 64·65·66·67 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 64~75 전체의 밀림이 없다,구간확정
D13,68,컨플릭트,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 64·65·66·67 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 64~75 전체의 밀림이 없다,구간확정
D13,69,"팔랑크스 ""RS2018 edit""",사용자 확인(대부분 8/14 영상 눈판독) — D13 의 64·65·66·67 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 64~75 전체의 밀림이 없다,구간확정
D13,70,락 더 하우스,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 64·65·66·67 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 64~75 전체의 밀림이 없다,구간확정
D13,71,밀키 웨이 갤럭시,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 64·65·66·67 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 64~75 전체의 밀림이 없다,구간확정
D13,72,라그나로크,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 64·65·66·67 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 64~75 전체의 밀림이 없다,구간확정
D13,73,스타더스트 오버드라이브,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 64·65·66·67 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 64~75 전체의 밀림이 없다,구간확정
D13,74,프라임,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 64·65·66·67 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 64~75 전체의 밀림이 없다,구간확정
D13,75,바로크 바이러스,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 64·65·66·67 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 64~75 전체의 밀림이 없다,구간확정
D13,81,스타트 온 레드,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 82 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 81~82 전체의 밀림이 없다,구간확정
D13,82,매지컬 베케이션,사용자 확인(대부분 8/14 영상 눈판독) — D13 의 82 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 81~82 전체의 밀림이 없다,구간확정
D14,4,4NT,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,5,쥬핀,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,6,루시드 드림,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,7,결투,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,8,머독,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,9,피가로의 결혼 ~Celebrazione Remix~,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,10,블루이쉬 로즈,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,11,록시아,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,12,소닉 붐,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,13,메가하츠,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,14,글리머 글림,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,15,아테나의 방패,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,16,이매저너라이즈드 시티,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,17,웨딩 크래셔,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,18,야누스,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,19,아이 원트 유,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,20,스켑틱,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,21,테일즈 오브 펌프니아,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,22,파괴,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,23,파파시토 (feat. KuTiNA),사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,24,포가튼 뱀파이어,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,25,라스트 리버스,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,26,트리튬,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,27,실버 비트 feat. ChisaUezono,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,28,브레이크 아웃,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,29,포스 오브 라,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,30,리키지 볼티지,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
D14,31,히아신스,사용자 확인(대부분 8/14 영상 눈판독) — D14 의 4·5·6·7·8·9 외 14 번이 맞았다. 번호는 단조라 그 점이 맞으면 못 본 구간 4~35 전체의 밀림이 없다,구간확정
