# **영상 프레임에서 읽은 것**의 대장 — 확인 대장(user_confirmations.csv)과 다른 파일이다.
#
# 왜 갈랐나
# ---------
# 영상 프레임 판독으로 얻은 근거와, 직접 오락실에서 확인한 근거는 신뢰도가 다르다.
# 둘을 같은 칸에 두면 구별이 안 된다.
#
# 이 파일의 것은 지도에서 **「영상 판독」**으로 따로 표시된다. 확인칸(파란색)이 아니다.
날짜,존,번호,밀림,신뢰도,프레임수,근거
2026-08-26,S7,,0,,,"프레임 4장 · 신뢰도 확실 · 적대적 반증 통과. z_S7_004_nolja_0808_5083.png 와 z_S7_005_nolja_0808_5079.png — 둘 다 제목줄 「B3 / MAX / BPM 160」 + 카운터 005/145, 왼쪽부터 유 앤 아이 · 슬램 · [005 선택칸] · ESP · 하이웨이 체이서 · 이터(널 유니버스) → 우리 표 3·4·5·6·7·8 일치, 표 5=B3 이 제목줄로 직접 확인됨. | z_S7_138_nolja_0808_5086.png — 왼쪽부터 알레그로 콘 뿌오코 · 네크로맨시 · [슈퍼☆하라구로☆팝, 선택칸] · 오벨리스크 · 레이지 "
2026-08-26,S8,,0,,,"프레임 2장 · 신뢰도 확실 · 적대적 반증 통과. z_S8_001_nolja_0814_2099.png — 선택칸이 RANDOM SINGLE 08, 카운터 001/090, 제목줄 「??? 」(정지). 오른쪽으로 빌려온 고양이 · 노스텔지어 · 또ㄷ(=또다른 진심) → 우리 표 1(—) · 2 빌려온 고양이 · 3 노스텔지어 · 4 또다른 진심 과 일치(3배 확대 대조). RANDOM 왼쪽은 클루 · 베들램 · (잘림)로 목록 끝. | z_S8_024_nolja_0814_2103.png — 좌하단 레벨 칩 08, 왼쪽부터 포가튼 뱀파이어 · 더 레버리 · 갓 모드 2.0 feat. S"
2026-08-26,S15,89,+1,확실,1,nolja_0814 t=2571 (42:51) 제목줄 「니힐리즘 - 어나더 버전 - / nato / BPM 190」 + 카운터 089/121. 타일 팝 시퀀스·프렌드·컨플릭트·[089]·팔랑크스·모페모페 → 우리 표 87~92 와 대면 **표가 한 칸 높다(밀림 +1)**. 크기도 121 이지 122 가 아니다
2026-08-26,S9,,0,확실,2,"nolja_0814 t=2119 은 감김 프레임이다 — 카운터 「001/079」(또렷, 정지)이고 타일이 왼쪽부터 히페리온 · 어 사이트 데 라 루 · [001 = RANDOM SINGLE 09] · 스톰 · 조깅. 우리 S9 표의 78 히페리온 · 79 어 사이트 데 라 루 · 2 스톰 · 3 조깅 과 네 칸이 그대로 앉는다 — **머리와 꼬리를 한 프레임이 동시에 잠근다**(카운터를 안 써도 RANDOM 이 화면 001 이라 절대 닻이다). t=2133 카운터 「072/079」(정지) 는 모노리스(70) · 트라이브 어택커(71) · [072] · 스멜스 라이크 어 초콜릿(73) · 우라늄(74) 로 5/5. 화면 크기 079 = 우리 표 79 칸."
2026-08-26,S12,,0,확실,2,nolja_0814 t=2346 감김 프레임 · 카운터 「001/111」(또렷). 라 그랑 블루 · 클루 · [001 = RANDOM SINGLE 12] · 오버나이트 플라워 · 이터널 유니버스 = 우리 표 110 · 111 · 2 · 3 그대로. t=2351 「030/111」 자리 28~32 일치4 로 가운데도 0. 화면 크기 111 = 우리 표 111 칸.
2026-08-26,S13,,0,확실,4,nolja_0814 t=2367 감김 프레임 · 카운터 「001/079」(또렷). 킵 온! · 도나텔로 · [001 = RANDOM SINGLE 13] · 비행기 · ESP = 우리 표 78 · 79 · 2 · 3 그대로. 가운데도 0 — t=793 「066/079」 자리 64~68 일치4 · t=2371 「025/079」 자리 23~27 · t=2376 「049/079」 자리 47~51. 화면 크기 079 = 우리 표 79 칸. ★ 이 창이 S9 가 아니라 S13 인 것도 이 프레임이 가른다(둘 다 79 칸이라 크기로는 못 가른다).
2026-08-26,D24,,머리 0 · 꼬리 +2 (구간별),확실,3,"**한 존 안에서 밀림이 바뀐다.** nolja_0814 t=5344 감김 프레임 · 카운터 「001/103」(또렷): 베들램 · 어 사이트 데 라 루 · [001 = RANDOM DOUBLE 24] · 고민중독 · 풀 문. 우리 표는 고민중독 2 · 풀 문 3 (→ 머리 밀림 0) 인데 베들램 104 · 어 사이트 데 라 루 105 가 화면 102 · 103 에 온다(→ 꼬리 밀림 +2). 화면 크기 103 vs 우리 표 105 칸 = 표에 2곡이 더 있다는 것과 맞는다. t=5360 「089/103」 은 호랑풍류가(88) · 페이브 가든(89) · [089=크로싱 델타 90] · 클럽 나이트(91) · 크로스 소울(92) 로 5/5 **+1** — 곧 한 계단은 표 4~61 어딘가, 다른 한 계단은 표 95 부근이다(t=5361 「094/103」 에서 브레인 파워(표 94)가 화면 093, 크로스 레이(표 96)가 화면 094 로 그 자리에서 갈린다). ★ 남은 것: 계단 두 자리를 못 좁혔다 — 표 4~61 구간을 더 봐야 한다."
2026-08-26,D25,,머리 0 · 꼬리 +1 (구간별),확실,3,"**한 존 안에서 밀림이 바뀐다.** nolja_0814 t=5583 감김 프레임 · 카운터 「002/056」(또렷): 제로아이즈 · ???(RANDOM DOUBLE 25) · [002] · 디그니티 · 엔조이 더 쇼. 우리 표 2 유 앤 아이 · 3 디그니티 · 4 엔조이 더 쇼 가 화면 2 · 3 · 4 에 그대로(→ 머리 0)인데, 표 57 제로아이즈가 화면 056 에 온다(→ 꼬리 +1). 화면 크기 056 vs 우리 표 57 칸과 맞는다. t=5587 「018/056」 은 소닉 붐(16) · 메가하츠(17) · [018] · 인베이젼(19) · 힘 오브 골든 글로리(20) 로 **표 20 까지 아직 0**, t=5595 「054/056」 은 저스트 홀드 온(표 53) · 파사칼리아(54) · [054=헬리오스피어 55] · 우라늄(56) · 제로아이즈(57) 로 5/5 **+1**. 곧 계단은 표 21~52 안에 하나다. ★ 남은 것: 그 한 자리를 못 좁혔다."
2026-08-26,S23,3,0,확실,1,"nolja_0808 t=4491 — 타일 띠 확대(carousel_zone_locate.py --band). 왼쪽부터 ???(RANDOM) · 굿 나이트 · [선택칸 = 엔조이 더 쇼] · 더 라스트 리벨리온 · 이터널 유니버스. RANDOM 이 절대 닻이라 화면 001=RANDOM · 002 굿 나이트 · 003 엔조이 더 쇼 이고, 우리 표 2 굿 나이트 · 3 엔조이 더 쇼 · 4 더 라스트 리벨리온 · 5 이터널 유니버스 와 4/4 일치 -> 표 3 = 화면 3, 밀림 0"
2026-08-26,S23,24,+2,확실,1,"nolja_0808 t=4519 — 띠에 카운터 「024/051」이 또렷하다. 다람쥐 헌 쳇바퀴에 타… · 요그 소토스 · [024] · 어나이얼레이터 메소드 · 클리너 = 우리 표 24 · 25 · (26 1950) · 27 · 28 과 4/4 일치 -> 표 26 = 화면 24, 밀림 +2"
2026-08-26,S23,29,+3,확실,1,"nolja_0808 t=4525 — 카운터 「029/051」. 진공 · 키메라 · [029] · 인피니트 에너지 -Over… · 갤럭시 컬랩스 = 우리 표 30 · 31 · (32 파이널 오디션 에피소드 2-2) · 33 · 34 와 4/4 일치 -> 표 32 = 화면 29, 밀림 +3. ★ S23 은 **밀림이 자리마다 다르다**(화면 3에서 0 · 24에서 +2 · 29에서 +3). 표 53칸 대 화면 051 이고, 화면 027·028 이 진공·키메라이므로 우리 표 29 소서리스 엘리제가 이 채널엔 없다"
2026-08-26,D12,22,0,확실,1,nolja_0814 t=4527 — 카운터 「022/061」. 슈퍼 판타지 · 바이올렛 퍼퓸 · [022] · 알레그로 피유 모쏘 · 무브 댓 바디! = 우리 표 20 · 21 · (22 레드 스완) · 23 · 24 와 4/4 일치 -> 밀림 0. **화면 총수는 061 이지 060 이 아니다** — counter_ledger2 에 60 으로 찍힌 유일한 행(nolja_0825 26156)은 D12 화면이 아니었다(자켓 판독으로 확인)
2026-08-26,D12,55,-1,확실,1,"nolja_0814 t=4535 — 카운터 「055/061」. 오벨리스크 · 우라늄 · [055] · 헤드리스 치킨 · 로키 = 우리 표 52 · 53 · (54 라이징 스타) · 55 · 56 과 4/4 일치 -> 표 54 = 화면 55, 밀림 -1. 화면 22 에서 0 이었으므로 그 사이에 우리 표가 모르는 곡이 하나 있다"
2026-08-26,D15,4,0,확실,2,"nolja_0808 t=1890 — 카운터 「004/079」. 노스텔지어 · 유 앤 아이 · [004] · 벡터 · 플레이버 스텝! = 우리 표 2 · 3 · (4 사월의 축제) · 5 · 6 과 4/4 일치 -> 밀림 0. || t=1887 — 카운터 「001/079」이고 선택칸이 RANDOM. 오른쪽 노스텔지어(화면 002)=표 2 · 유 앤 아이(003)=표 3 이고, 왼쪽은 감겨 베들램(화면 079)=표 78 · 크리스마스의 기억(078)=표 77 -> **끝쪽은 밀림 -1**. 화면 총수 079 대 표 78칸"
2026-08-26,D16,4,0,확실,1,sngl_0810 t=5261 — 카운터 「004/079」. 빌려온 고양이 · 비행기 · [004] · 타이밍 · 날아올라 = 우리 표 2 · 3 · (4 조깅) · 5 · 6 과 4/4 일치 -> 밀림 0
2026-08-26,D16,56,-3,확실,1,"sngl_0811 t=4315 — 카운터 「056/079」. 알테일 · 이렐리아 · [056] · 푸파 · 스테이저 = 우리 표 51 · 52 · (53 R.I.P.) · 54 · 55 와 4/4 일치 -> 표 53 = 화면 56, 밀림 -3. **화면 총수 079 대 우리 표 75칸** — 아케이드에 우리 표가 모르는 곡이 넷 있고 그중 셋이 화면 4~56 사이다. 알 판독기가 이 자리를 「알 16 · 크기 79」로 찍어 뒀는데 79 는 S13 크기와 같아 크기로는 못 갈랐고, **이름 연속열**이 갈랐다"
2026-08-26,D15,79,-1,확실,1,nolja_0808 t=1887 — 카운터 「001/079」이고 선택칸이 RANDOM(절대 닻). 왼쪽으로 감긴 두 칸이 크리스마스의 기억(화면 078) · 베들램(화면 079)인데 우리 표는 77 크리스마스의 기억 · 78 베들램 이라 **끝쪽 밀림은 -1** 이다. 같은 방문의 t=1890 은 화면 4 에서 밀림 0 이었으므로 **D15 도 자리마다 밀림이 다르다** — 화면 4~79 사이에 우리 표가 모르는 곡이 하나 있다
2026-08-26,S18,,0(화면 1~32) · +1(화면 33~157),확실,6,"nolja_0814 (그 방송만 게임 캡처가 작아 find_tiles 배율사다리 1.25 가 있어야 잡힌다). ⑴ 감김 t=3061 카운터 「001/157」 — 왼쪽부터 레드라인 · 킬 뎀! · [RANDOM=화면001] · 뱅 뱅 · 404 (뉴 에라). RANDOM 이 절대 닻이라 카운터 없이도 머리 0 (표 2 뱅 뱅 · 3 404) 이고, 꼬리는 표 157 레드라인 · 158 킬 뎀! 이 화면 156 · 157 에 와서 +1. ⑵ **유령 자리를 카운터 없이 못박은 프레임** t=3065 카운터 「032/157」 — 글리머 글림(표30) · 데카 댄스(31) · [크림슨 후드(32)] · 웨딩 크래셔 · 오블리터레이션. 우리 표는 32 크림슨 후드 **33 힘 오브 골든 글로리 - SHORT CUT -** 34 웨딩 크래셔 인데 화면은 32 다음이 곧장 웨딩 크래셔다 → **표 33(숏컷)이 화면에 없다.** ⑶ t=3070 「060/157」 유 갓 미 크레이지(59) · B2(60) · [표61 메테오라이즈] · 암피트리온(62) · 레드 스완(63) → +1. 화면 총수 157 = 우리 표 158 - 유령 1. 판독기: carousel_zone_locate.py (자기검정 양성3·음성1 통과)"
2026-08-26,S19,,0(화면 1~28) · +1(화면 29~149),확실,6,"nolja_0814. ⑴ 감김 t=3090·3091 카운터 「001/149」 — 아스테리오스 -리엔트리- · 어 사이트 데 라 루 · [RANDOM=화면001] · 풀 문 · 더 라스트 리벨리온. 머리 0(표 2·3), 꼬리는 표 149·150 이 화면 148·149 → +1. ⑵ **유령을 못박은 이웃 두 장** t=3292 「028/149」 아테나의 방패(26) · 머독 vs 오타다(27) · [표28 이매저너라이즈드 시티] · 트란사칼리아 · 디스트릭트 1 → 화면에서 28 다음이 곧장 트란사칼리아(표30)라 **표 29 네오 카타르시스 - SHORT CUT - 이 없다.** t=3293 「029/149」 는 같은 창이 한 칸 간 것으로 선택칸이 표30 트란사칼리아 → +1. ⑶ t=3097 「031/149」 → 표32 슈가 플럼(+1) · t=3116 「143/149」 → 표144 일 더하기 일은 귀요미(+1). 화면 총수 149 = 우리 표 150 - 유령 1"
2026-08-26,S20,,0(화면 1~37) · +2(화면 38~89) · +1(화면 91~120),확실,12,nolja_0814. **한 존 안에서 두 번 꺾인다 — 유령 하나와 「자리가 다른 곡」 하나다.** ⑴ 머리·꼬리는 감김 t=3313·3314 「002/120」 이 잠근다 — 사월(표120) · 라 그랑 블루(표121) · [RANDOM=화면001] · 고민중독(표2) · 빌려온 고양이(표3) → 머리 0 · 꼬리 +1. ⑵ 멈춘 프레임 t=3319 「027/120」 머독(25) · 사이먼 세이즈(26) · [표27 요! 세이!! 페어리!!!] · 피가로(28) · 데몬 오브 라플라스(29) → 화면 27 까지 0. ⑶ **표 38·39 두 칸이 그 자리에 없다** — t=3321.45 「039/120」 크림슨 후드(36) · 도플갱어(37) · [선택] · 아이 원트 유(41) · 아이올라이트 스카이(42) 이고 t=3321.5 「040/120」 은 도플갱어(37) · 야누스(40) · [아이 원트 유(41)] · 42 · 43 이다. 곧 화면은 도플갱어(37) 다음이 곧장 야누스(40) → **표 38 힘 오브 골든 글로리 - SHORT CUT - 과 39 네이드 네이드가 그 자리에 없다.** ⑷ 멈춘 프레임 t=3328 「083/120」 치킨 윙(83) · 라젠스키 캉캉(84) · [표85 롤링 크리스마스] · 미스터 라푸스(86) · 바이너리 스타(87) → 화면 83 에서 **+2**. ⑸ **네이드 네이드는 없어진 게 아니라 뒤에 있다** — t=3331 에 휴먼 익스팅션 (PIU E…)(표90) · 댓 키티 (PIU Edit.)(표91) · [네이드 네이드] · 에너지 시너지 매트릭스(표92) · 밀크(표93) 로 나온다. 댓 키티가 화면 89 이므로 네이드 네이드가 화면 090 이고 그 뒤가 +1 로 되돌아온다. ⑹ t=3333 「113/120」 → 표114 슈퍼☆하라구로☆팝(+1) 로 맞는다. 화면 총수 120 = 우리 표 121 - 유령 1(숏컷) - 자리이동 1 + 되돌아온 1
2026-08-26,S21,,0(화면 1~34) · +1(화면 35~132),확실,6,nolja_0814. ⑴ 감김 t=3336 — 인피니티 · 고딕 레조넌스 · [RANDOM=화면001] · 뱅 뱅 · 404 (뉴 에라). 머리 0(표 2·3) · 꼬리는 표 132 인피니티 · 133 고딕 레조넌스가 화면 131 · 132 → +1. ⑵ **유령을 카운터 없이 못박은 프레임** t=3342.8 — 이매저너라이즈드 시티(표34) · 웨딩 크래셔(표36) · [표37 1949] · 텔링 포츈 플라워(38) · 니알라토텝(39). 화면에서 표34 다음이 곧장 표36 이라 **표 35 네오 카타르시스 - SHORT CUT - 이 없다.** ⑶ 멈춘 프레임 t=3358.0·3358.4 「116/132」(두 장이 같다) — 라그나로크(115) · 까랴위사따(116) · [표117 임프린팅] · 프라임(118) · 저스트 홀드 온(119) → +1. 화면 총수 132 = 우리 표 133 - 유령 1
2026-08-26,D17,,0(화면 2~3) · -3(화면 75) · -4(화면 82~102),확실,6,"sngl_0811 · nolja_0814. **한 존 안에서 두 번 이상 꺾인다** — 화면 총수 102 대 우리 표 98칸이라 아케이드에 우리 표가 모르는 곡이 넷 있다. ⑴ 감김 nolja_0814 t=4811 카운터 「001/102」 — 사월 · 킵 온! · [RANDOM=화면001] · 404 (뉴 에라) · 스톰. RANDOM 이 절대 닻이라 머리는 표 2 404 · 3 스톰 이 화면 002 · 003 에 그대로 → **머리 0**, 꼬리는 표 97 사월 · 98 킵 온! 이 화면 101 · 102 에 와서 **-4**. ⑵ 멈춘 프레임 sngl_0811 t=240 카운터 「075/102」(대장 t=238~241 이 모두 075 로 4초 고정) — 비코즈 오브 유(표70) · 브레이크 스루 마이셀프 feat. Risa Yuzuki(표71) · [075] · 얼라이브(표73) · 트릭크래쉬 220(표74) → 화면 073·074·076·077 이므로 **그 자리는 -3**. ⑶ 멈춘 프레임 sngl_0811 t=250 과 t=258 이 **같은 화면**(카운터 「082/102」, 대장 t=248~262 전부 082) — 모페모페 · 라그나로크(표77) · [082] · 까랴위사따(표79) · 임프린팅(표80) → 화면 081·083·084 이므로 **-4**. ★ 계단 하나를 자리까지 좁혔다: **화면 080 이 「모페모페」인데 우리 D17 표에 그 곡이 없다**(같은 이름이 D19·D24·D26·S11·S15·S17·S21·S23 에는 있다). 표 76 니힐리즘 - 어나더 버전 - 자리에 화면은 모페모페를 두고 있고, 그래서 화면 075 에서 -3 이던 것이 화면 081 에서 -4 가 된다. 나머지 세 계단은 화면 004~074 안이다(못 좁혔다). ※ 앞 배치가 이 존을 「영상에 없다」고 본 것은 **크기표 탓**이다 — 대장에서 98 을 찾으면 0건이 나온다"
2026-08-26,D18,,0(화면 2~60) · -1(화면 158~159),확실,4,sngl_0811. 화면 총수 159 대 우리 표 158칸 — 아케이드에 우리 표가 모르는 곡이 하나 있다. ⑴ **감김 프레임이 머리와 꼬리를 동시에 잠근다** — t=698 과 t=957.5 두 자리가 같은 화면이고 카운터 「001/159」(또렷): 라 그랑 블루 · 클루 · [RANDOM DOUBLE 18 = 화면001] · 고민중독 · 빌려온 고양이. 우리 표 2 고민중독 · 3 빌려온 고양이 가 화면 002 · 003 에 그대로 → **머리 0**. 표 157 라 그랑 블루 · 158 클루 가 화면 158 · 159 에 와서 → **꼬리 -1**. ⑵ 멈춘 프레임 t=975 와 t=1000 이 같은 화면(카운터 「060/159」) — 슈브 니구라스(표58) · 브레이크 아웃(표59) · [060] · 우츠시요 노 카제 feat. Kana(표61) · 업 앤 업 (Produced by AWAL)(표62) → 화면 058·059·061·062 로 **화면 60 에서도 0**. 곧 계단 하나는 **화면 061~157 안**이다(못 좁혔다). ★ 이 존을 「밀림 0」 한 줄로 적으면 안 된다 — 꼬리가 -1 이라 존 전체를 잠그면 뒤쪽이 틀린 번호로 확정된다
